identity	module	section	target_rva	base_rva	target_size	base_size	status	target_hash	base_hash	relocation_hash	note
L:openssl:cryptlib.obj:app_locks	openssl	.data	0xa918d8	0xae4a40	4	4	EXACT	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:cryptlib.obj:dyn_locks	openssl	.data	0xa918dc	0xae4a44	4	4	EXACT	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:cryptlib.obj:dynlock_create_callback	openssl	.data	0xa918f0	0xae4a58	4	4	EXACT	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:cryptlib.obj:dynlock_destroy_callback	openssl	.data	0xa918f8	0xae4a60	4	4	EXACT	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:cryptlib.obj:dynlock_lock_callback	openssl	.data	0xa918f4	0xae4a5c	4	4	EXACT	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:cryptlib.obj:hash_coeffs	openssl	.rdata	0x819c54	0x832f24	8	8	EXACT	4fb663ff1c052c6dda846223cfe8dfbe5e3ae5f19e409aab772e2f4caff6e1fc	4fb663ff1c052c6dda846223cfe8dfbe5e3ae5f19e409aab772e2f4caff6e1fc	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:cryptlib.obj:id_callback	openssl	.data	0xa918e8	0xae4a50	4	4	EXACT	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:cryptlib.obj:lock_names	openssl	.rdata	0x819bb0	0x832e80	164	164	EXACT	4b22ee6807a2e4ddfd1bf16851609a7a009f4c6bd5aeb78162f121cb89492f02	4b22ee6807a2e4ddfd1bf16851609a7a009f4c6bd5aeb78162f121cb89492f02	dedd4d2b3a7f5f3931bae36b86b60f74e875a241cf1ac1fa4fc5eb63f82ab910/dedd4d2b3a7f5f3931bae36b86b60f74e875a241cf1ac1fa4fc5eb63f82ab910	-
L:openssl:cryptlib.obj:locking_callback	openssl	.data	0xa918e0	0xae4a48	4	4	EXACT	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:cryptlib.obj:threadid_callback	openssl	.data	0xa918ec	0xae4a54	4	4	EXACT	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
