# MANUALLY MANAGED - admitted retail data starts from the shipped PDB.
# Extents and owner/name evidence are derived separately; builds do not rewrite this.
rva	kind
0x7e4644	datum
0x7e4648	datum
0x7e464c	datum
0x7e4650	datum
0x7e4654	datum
0x7e4658	datum
0x7e465c	datum
0x7e4660	datum
0x7e4664	datum
0x7e4668	datum
0x7e466c	datum
0x7e4670	datum
0x7e4674	datum
0x7e4678	datum
0x7e467c	datum
0x7e4680	datum
0x7e4684	datum
0x7e4688	datum
0x7e468c	datum
0x7e4690	datum
0x7e4694	datum
0x7e469c	datum
0x7e46a4	datum
0x7e46ac	datum
0x7e46b4	datum
0x7e46bc	datum
0x7e46c4	datum
0x7e46cc	datum
0x7e46d4	datum
0x7e46dc	datum
0x7e46e0	datum
0x7e46e4	datum
0x7e46e8	datum
0x7e46ec	datum
0x7e46f0	datum
0x7e46f4	datum
0x7e46f8	datum
0x7e46fc	datum
0x7e4700	datum
0x7e4704	datum
0x7e4708	datum
0x7e470c	datum
0x7e4710	datum
0x7e4714	datum
0x7e4718	datum
0x7e471c	datum
0x7e4720	datum
0x7e4724	datum
0x7e4728	datum
0x7e472c	datum
0x7e4730	datum
0x7e4734	datum
0x7e4738	datum
0x7e473c	datum
0x7e4740	datum
0x7e4744	datum
0x7e4748	datum
0x7e474c	datum
0x7e4750	datum
0x7e4754	datum
0x7e4758	datum
0x7e475c	datum
0x7e4760	datum
0x7e4764	datum
0x7e4768	datum
0x7e476c	datum
0x7e4770	datum
0x7e4774	datum
0x7e4778	datum
0x7e477c	datum
0x7e4780	datum
0x7e4784	datum
0x7e4788	datum
0x7e478c	datum
0x7e4790	datum
0x7e4794	datum
0x7e4798	datum
0x7e479c	datum
0x7e47a0	datum
0x7e47a4	datum
0x7e47a8	datum
0x7e47ac	datum
0x7e47b0	datum
0x7e47b4	datum
0x7e47b8	datum
0x7e47bc	datum
0x7e47c0	datum
0x7e47c4	datum
0x7e47c8	datum
0x7e47cc	datum
0x7e47d0	datum
0x7e47d4	datum
0x7e47d8	datum
0x7e47dc	datum
0x7e47e0	datum
0x7e47e4	datum
0x7e47e8	datum
0x7e47ec	datum
0x7e47f0	datum
0x7e47f4	datum
0x7e47f8	datum
0x7e47fc	datum
0x7e4800	datum
0x7e4804	datum
0x7e4808	datum
0x7e480c	datum
0x7e4810	datum
0x7e4814	datum
0x7e4818	datum
0x7e481c	datum
0x7e4820	datum
0x7e4824	datum
0x7e4828	datum
0x7e482c	datum
0x7e4830	datum
0x7e4834	datum
0x7e4838	datum
0x7e483c	datum
0x7e4840	datum
0x7e4844	datum
0x7e4848	datum
0x7e484c	datum
0x7e4850	datum
0x7e4854	datum
0x7e4858	datum
0x7e485c	datum
0x7e4860	datum
0x7e4864	datum
0x7e4868	datum
0x7e486c	datum
0x7e4870	datum
0x7e4874	datum
0x7e4878	datum
0x7e487c	datum
0x7e4880	datum
0x7e4884	datum
0x7e4888	datum
0x7e488c	datum
0x7e4890	datum
0x7e4894	datum
0x7e4898	datum
0x7e489c	datum
0x7e48a0	datum
0x7e48a4	datum
0x7e48a8	datum
0x7e48ac	datum
0x7e48b0	datum
0x7e48b4	datum
0x7e48b8	datum
0x7e48bc	datum
0x7e48c0	datum
0x7e48c4	datum
0x7e48c8	datum
0x7e48cc	datum
0x7e48d0	datum
0x7e48d4	datum
0x7e48d8	datum
0x7e48dc	datum
0x7e48e0	datum
0x7e48e4	datum
0x7e48e8	datum
0x7e48ec	datum
0x7e48f0	datum
0x7e48f4	datum
0x7e48f8	datum
0x7e48fc	datum
0x7e4900	datum
0x7e4904	datum
0x7e4908	datum
0x7e490c	datum
0x7e4910	datum
0x7e4914	datum
0x7e4918	datum
0x7e491c	datum
0x7e4920	datum
0x7e4924	datum
0x7e4928	datum
0x7e492c	datum
0x7e4930	datum
0x7e4934	datum
0x7e4938	datum
0x7e493c	datum
0x7e4940	datum
0x7e4944	datum
0x7e4948	datum
0x7e494c	datum
0x7e4950	datum
0x7e4954	datum
0x7e4958	datum
0x7e495c	datum
0x7e4960	datum
0x7e4964	datum
0x7e4968	datum
0x7e496c	datum
0x7e4970	datum
0x7e4974	datum
0x7e4978	datum
0x7e497c	datum
0x7e4980	datum
0x7e4984	datum
0x7e4988	datum
0x7e498c	datum
0x7e4990	datum
0x7e4994	datum
0x7e4998	datum
0x7e499c	datum
0x7e49a0	datum
0x7e49a4	datum
0x7e49a8	datum
0x7e49ac	datum
0x7e49b0	datum
0x7e49b4	datum
0x7e49b8	datum
0x7e49bc	datum
0x7e49c0	datum
0x7e49c4	datum
0x7e49c8	datum
0x7e49cc	datum
0x7e49d0	datum
0x7e49d4	datum
0x7e49d8	datum
0x7e49dc	datum
0x7e49e0	datum
0x7e49e4	datum
0x7e49e8	datum
0x7e49ec	datum
0x7e49f0	datum
0x7e49f4	datum
0x7e49f8	datum
0x7e49fc	datum
0x7e4a00	datum
0x7e4a04	datum
0x7e4a08	datum
0x7e4a0c	datum
0x7e4a10	datum
0x7e4a14	datum
0x7e4a18	datum
0x7e4a1c	datum
0x7e4a20	datum
0x7e4a24	datum
0x7e4a28	datum
0x7e4a2c	datum
0x7e4a30	datum
0x7e4a34	datum
0x7e4a38	datum
0x7e4a3c	datum
0x7e4a40	datum
0x7e4a44	datum
0x7e4a48	datum
0x7e4a4c	datum
0x7e4a50	datum
0x7e4a54	datum
0x7e4a58	datum
0x7e4a5c	datum
0x7e4a60	datum
0x7e4a64	datum
0x7e4a68	datum
0x7e4a6c	datum
0x7e4a70	datum
0x7e4a74	datum
0x7e4a78	datum
0x7e4a7c	datum
0x7e4a80	datum
0x7e4a84	datum
0x7e4a88	datum
0x7e4a8c	datum
0x7e4a90	datum
0x7e4a94	datum
0x7e4a98	datum
0x7e4a9c	datum
0x7e4aa0	datum
0x7e4aa4	datum
0x7e4aa8	datum
0x7e4aac	datum
0x7e4ab0	datum
0x7e4ab4	datum
0x7e4ab8	datum
0x7e4abc	datum
0x7e4ac0	datum
0x7e4ac4	datum
0x7e4ac8	datum
0x7e4acc	datum
0x7e4ad0	datum
0x7e4ad4	datum
0x7e4ad8	datum
0x7e4adc	datum
0x7e4ae0	datum
0x7e4ae4	datum
0x7e4ae8	datum
0x7e4aec	datum
0x7e4af0	datum
0x7e4af4	datum
0x7e4af8	datum
0x7e4afc	datum
0x7e4b00	datum
0x7e4b04	datum
0x7e4b08	datum
0x7e4b0c	datum
0x7e4b10	datum
0x7e4b14	datum
0x7e4b18	datum
0x7e4b1c	datum
0x7e4b20	datum
0x7e4b24	datum
0x7e4b28	datum
0x7e4b2c	datum
0x7e4b30	datum
0x7e4b34	datum
0x7e4b38	datum
0x7e4b3c	datum
0x7e4b40	datum
0x7e4b44	datum
0x7e4b48	datum
0x7e4b4c	datum
0x7e4b50	datum
0x7e4b54	datum
0x7e4b58	datum
0x7e4b5c	datum
0x7e4b60	datum
0x7e4b64	datum
0x7e4b68	datum
0x7e4b6c	datum
0x7e4b70	datum
0x7e4b74	datum
0x7e4b78	datum
0x7e4b7c	datum
0x7e4b80	datum
0x7e4b84	datum
0x7e4b88	datum
0x7e4b8c	datum
0x7e4b90	datum
0x7e4b94	datum
0x7e4b98	datum
0x7e4b9c	datum
0x7e4ba0	datum
0x7e4ba4	datum
0x7e4ba8	datum
0x7e4bac	datum
0x7e4bb0	datum
0x7e4bb4	datum
0x7e4bb8	datum
0x7e4bbc	datum
0x7e4bc0	datum
0x7e4bc4	datum
0x7e4bc8	datum
0x7e4bcc	datum
0x7e4bd0	datum
0x7e4bd4	datum
0x7e4bd8	datum
0x7e4bdc	datum
0x7e4be0	datum
0x7e4be4	datum
0x7e4be8	datum
0x7e4bec	datum
0x7e4bf0	datum
0x7e4bf4	datum
0x7e4bf8	datum
0x7e4bfc	datum
0x7e4c00	datum
0x7e4c04	datum
0x7e4c08	datum
0x7e4c0c	datum
0x7e4c10	datum
0x7e4c14	datum
0x7e4c18	datum
0x7e4c1c	datum
0x7e4c20	datum
0x7e4c24	datum
0x7e4c28	datum
0x7e4c2c	datum
0x7e4c30	datum
0x7e4c34	datum
0x7e4c38	datum
0x7e4c3c	datum
0x7e4c40	datum
0x7e4c44	datum
0x7e4c48	datum
0x7e4c4c	datum
0x7e4c50	datum
0x7e4c54	datum
0x7e4c58	datum
0x7e4c5c	datum
0x7e4c60	datum
0x7e4c64	datum
0x7e4c68	datum
0x7e4c6c	datum
0x7e4c70	datum
0x7e4c74	datum
0x7e4c78	datum
0x7e4c7c	datum
0x7e4c80	datum
0x7e4c84	datum
0x7e4c88	datum
0x7e4c8c	datum
0x7e4c90	datum
0x7e4c94	datum
0x7e4c98	datum
0x7e4c9c	datum
0x7e4ca0	datum
0x7e4ca4	datum
0x7e4ca8	datum
0x7e4cac	datum
0x7e4cb0	datum
0x7e4cb4	datum
0x7e4cb8	datum
0x7e4cbc	datum
0x7e4cc0	datum
0x7e4cc4	datum
0x7e4cc8	datum
0x7e4ccc	datum
0x7e4cd0	datum
0x7e4cd4	datum
0x7e4cd8	datum
0x7e4cdc	datum
0x7e4ce0	datum
0x7e4ce4	datum
0x7e4ce8	datum
0x7e4cec	datum
0x7e4cf0	datum
0x7e4cf4	datum
0x7e4cf8	datum
0x7e4cfc	datum
0x7e4d00	datum
0x7e4d04	datum
0x7e4d08	datum
0x7e4d0c	datum
0x7e4d10	datum
0x7e4d14	datum
0x7e4d18	datum
0x7e4d1c	datum
0x7e4d20	datum
0x7e4d24	datum
0x7e4d28	datum
0x7e4d2c	datum
0x7e4d4c	datum
0x7e4d6c	datum
0x7e4d70	datum
0x7e4d94	datum
0x7e4db8	datum
0x7e4ddc	datum
0x7e4e00	datum
0x7e4e24	datum
0x7e4e48	datum
0x7e4e6c	datum
0x7e4e90	datum
0x7e4eb4	datum
0x7e4ed8	datum
0x7e4efc	datum
0x7e4f20	datum
0x7e4f44	datum
0x7e4f68	datum
0x7e4f8c	datum
0x7e4fb0	datum
0x7e4fd4	datum
0x7e4ff8	datum
0x7e501c	datum
0x7e5040	datum
0x7e5064	datum
0x7e5088	datum
0x7e50ac	datum
0x7e50d0	datum
0x7e50f4	datum
0x7e5118	datum
0x7e513c	datum
0x7e5160	datum
0x7e5184	datum
0x7e51a8	datum
0x7e51cc	datum
0x7e51f0	datum
0x7e5214	datum
0x7e5238	datum
0x7e525c	datum
0x7e5280	datum
0x7e52a4	datum
0x7e52c8	datum
0x7e52ec	datum
0x7e5310	datum
0x7e5334	datum
0x7e5358	datum
0x7e537c	datum
0x7e53a0	datum
0x7e53c4	datum
0x7e53e8	datum
0x7e540c	datum
0x7e5430	datum
0x7e5454	datum
0x7e5478	datum
0x7e549c	datum
0x7e54c0	datum
0x7e54e4	datum
0x7e5508	datum
0x7e552c	datum
0x7e5550	datum
0x7e5574	datum
0x7e5598	datum
0x7e55bc	datum
0x7e55e0	datum
0x7e5604	datum
0x7e5628	datum
0x7e564c	datum
0x7e5670	datum
0x7e5694	datum
0x7e56b8	datum
0x7e56dc	datum
0x7e5700	datum
0x7e5724	datum
0x7e5748	datum
0x7e576c	datum
0x7e5790	datum
0x7e57b4	datum
0x7e57d8	datum
0x7e57fc	datum
0x7e5820	datum
0x7e5844	datum
0x7e5868	datum
0x7e588c	datum
0x7e5890	datum
0x7e58b8	datum
0x7e58e0	datum
0x7e5908	datum
0x7e5930	datum
0x7e5958	datum
0x7e5980	datum
0x7e59a8	datum
0x7e59d0	datum
0x7e59f8	datum
0x7e5a20	datum
0x7e5a48	datum
0x7e5a70	datum
0x7e5a98	datum
0x7e5ac0	datum
0x7e5ae8	datum
0x7e5b10	datum
0x7e5b38	datum
0x7e5b60	datum
0x7e5b88	datum
0x7e5bb0	datum
0x7e5bd8	datum
0x7e5c00	datum
0x7e5c28	datum
0x7e5c50	datum
0x7e5c78	datum
0x7e5ca0	datum
0x7e5cc8	datum
0x7e5cf0	datum
0x7e5d18	datum
0x7e5d40	datum
0x7e5d68	datum
0x7e5d90	datum
0x7e5db8	datum
0x7e5de0	datum
0x7e5e08	datum
0x7e5e30	datum
0x7e5e58	datum
0x7e5e80	datum
0x7e5ea8	datum
0x7e5ed0	datum
0x7e5ed4	datum
0x7e5f00	datum
0x7e5f2c	datum
0x7e5f58	datum
0x7e5f84	datum
0x7e5fb0	datum
0x7e5fdc	datum
0x7e6008	datum
0x7e6034	datum
0x7e6060	datum
0x7e608c	datum
0x7e6090	datum
0x7e60c0	datum
0x7e60f0	datum
0x7e6120	datum
0x7e6150	datum
0x7e6180	datum
0x7e61b0	datum
0x7e61e0	datum
0x7e6210	datum
0x7e6240	datum
0x7e6270	datum
0x7e62a0	datum
0x7e62d0	datum
0x7e6300	datum
0x7e6330	datum
0x7e6360	datum
0x7e6390	datum
0x7e63c0	datum
0x7e63f0	datum
0x7e6420	datum
0x7e6450	datum
0x7e6480	datum
0x7e64b0	datum
0x7e64e0	datum
0x7e6510	datum
0x7e6540	datum
0x7e6570	datum
0x7e65a0	datum
0x7e65d0	datum
0x7e6600	datum
0x7e6630	datum
0x7e6660	datum
0x7e6690	datum
0x7e66c0	datum
0x7e66f0	datum
0x7e6720	datum
0x7e6750	datum
0x7e6780	datum
0x7e67b0	datum
0x7e67e0	datum
0x7e6810	datum
0x7e6840	datum
0x7e6844	datum
0x7e6878	datum
0x7e68ac	datum
0x7e68e0	datum
0x7e6914	datum
0x7e6948	datum
0x7e697c	datum
0x7e6980	datum
0x7e69b8	datum
0x7e69f0	datum
0x7e6a28	datum
0x7e6a60	datum
0x7e6a98	datum
0x7e6ad0	datum
0x7e6b08	datum
0x7e6b40	datum
0x7e6b78	datum
0x7e6bb0	datum
0x7e6be8	datum
0x7e6c20	datum
0x7e6c58	datum
0x7e6c90	datum
0x7e6cc8	datum
0x7e6d00	datum
0x7e6d38	datum
0x7e6d70	datum
0x7e6da8	datum
0x7e6de0	datum
0x7e6e18	datum
0x7e6e50	datum
0x7e6e88	datum
0x7e6ec0	datum
0x7e6ef8	datum
0x7e6f30	datum
0x7e6f68	datum
0x7e6fa0	datum
0x7e6fd8	datum
0x7e7010	datum
0x7e7048	datum
0x7e7080	datum
0x7e70b8	datum
0x7e70f0	datum
0x7e7128	datum
0x7e7160	datum
0x7e7198	datum
0x7e71d0	datum
0x7e7208	datum
0x7e7240	datum
0x7e7244	datum
0x7e7280	datum
0x7e72bc	datum
0x7e72f8	datum
0x7e7334	datum
0x7e7338	datum
0x7e7378	datum
0x7e73b8	datum
0x7e73f8	datum
0x7e7438	datum
0x7e7478	datum
0x7e74b8	datum
0x7e74f8	datum
0x7e7538	datum
0x7e7578	datum
0x7e75b8	datum
0x7e75f8	datum
0x7e7638	datum
0x7e7678	datum
0x7e76b8	datum
0x7e76f8	datum
0x7e7738	datum
0x7e7778	datum
0x7e77b8	datum
0x7e77f8	datum
0x7e7838	datum
0x7e7878	datum
0x7e78b8	datum
0x7e78f8	datum
0x7e7938	datum
0x7e7978	datum
0x7e79b8	datum
0x7e79f8	datum
0x7e7a38	datum
0x7e7a3c	datum
0x7e7a40	datum
0x7e7a44	datum
0x7e7a48	datum
0x7e7a4c	datum
0x7e7a50	datum
0x7e7a54	datum
0x7e7a58	datum
0x7e7a5c	datum
0x7e7a60	datum
0x7e7a64	datum
0x7e7a68	datum
0x7e7a6c	datum
0x7e7a70	datum
0x7e7a74	datum
0x7e7a78	datum
0x7e7a7c	datum
0x7e7a80	datum
0x7e7a84	datum
0x7e7a88	datum
0x7e7a8c	datum
0x7e7a90	datum
0x7e7a94	datum
0x7e7a98	datum
0x7e7a9c	datum
0x7e7aa0	datum
0x7e7aa4	datum
0x7e7aa8	datum
0x7e7aac	datum
0x7e7ab0	datum
0x7e7ab4	datum
0x7e7ab8	datum
0x7e7abc	datum
0x7e7ac0	datum
0x7e7ac4	datum
0x7e7ac8	datum
0x7e7acc	datum
0x7e7ad0	datum
0x7e7ad4	datum
0x7e7ad8	datum
0x7e7adc	datum
0x7e7ae0	datum
0x7e7ae4	datum
0x7e7ae8	datum
0x7e7aec	datum
0x7e7af0	datum
0x7e7af4	datum
0x7e7af8	datum
0x7e7afc	datum
0x7e7b00	datum
0x7e7b04	datum
0x7e7b08	datum
0x7e7b0c	datum
0x7e7b10	datum
0x7e7b14	datum
0x7e7b18	datum
0x7e7b1c	datum
0x7e7b20	datum
0x7e7b24	datum
0x7e7b28	datum
0x7e7b2c	datum
0x7e7b30	datum
0x7e7b34	datum
0x7e7b38	datum
0x7e7b3c	datum
0x7e7b40	datum
0x7e7b44	datum
0x7e7b48	datum
0x7e7b4c	datum
0x7e7b50	datum
0x7e7b54	datum
0x7e7b58	datum
0x7e7b5c	datum
0x7e7b60	datum
0x7e7b64	datum
0x7e7b68	datum
0x7e7b6c	datum
0x7e7b70	datum
0x7e7b74	datum
0x7e7b78	datum
0x7e7b7c	datum
0x7e7b80	datum
0x7e7b84	datum
0x7e7b88	datum
0x7e7b8c	datum
0x7e7b90	datum
0x7e7b94	datum
0x7e7b98	datum
0x7e7b9c	datum
0x7e7ba0	datum
0x7e7ba4	datum
0x7e7ba8	datum
0x7e7bac	datum
0x7e7bb0	datum
0x7e7bb4	datum
0x7e7bb8	datum
0x7e7bbc	datum
0x7e7bc0	datum
0x7e7bc4	datum
0x7e7bc8	datum
0x7e7bcc	datum
0x7e7bd0	datum
0x7e7bd4	datum
0x7e7bd8	datum
0x7e7bdc	datum
0x7e7be0	datum
0x7e7be4	datum
0x7e7be8	datum
0x7e7bec	datum
0x7e7bf0	datum
0x7e7bf4	datum
0x7e7bf8	datum
0x7e7bfc	datum
0x7e7c00	datum
0x7e7c04	datum
0x7e7c08	datum
0x7e7c0c	datum
0x7e7c10	datum
0x7e7c14	datum
0x7e7c18	datum
0x7e7c1c	datum
0x7e7c20	datum
0x7e7c24	datum
0x7e7c28	datum
0x7e7c2c	datum
0x7e7c30	datum
0x7e7c34	datum
0x7e7c38	datum
0x7e7c3c	datum
0x7e7c40	datum
0x7e7c44	datum
0x7e7c48	datum
0x7e7c4c	datum
0x7e7c50	datum
0x7e7c54	datum
0x7e7c58	datum
0x7e7c5c	datum
0x7e7c60	datum
0x7e7c64	datum
0x7e7c68	datum
0x7e7c6c	datum
0x7e7c70	datum
0x7e7c74	datum
0x7e7c78	datum
0x7e7c7c	datum
0x7e7c80	datum
0x7e7c84	datum
0x7e7c88	datum
0x7e7c8c	datum
0x7e7c90	datum
0x7e7c94	datum
0x7e7c98	datum
0x7e7c9c	datum
0x7e7ca0	datum
0x7e7ca4	datum
0x7e7ca8	datum
0x7e7cac	datum
0x7e7cb0	datum
