# legacy_path	class	counterparts	symbol_hits	target_evidence	notes
base/sources/command_processor.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_projection_matrix.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_projection_matrix.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_remove_light.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_remove_light.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_remove_visual.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_remove_visual.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_render_visuals.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_render_visuals.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_add_cell.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_add_cell.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_cell_add_texture.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_cell_add_texture.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_cell_remove_texture.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_cell_remove_texture.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_cell_set_visible.cpp	UNMAPPED	-	-	target_evidence=0/0	stubs_in_counterpart=0
base/sources/command_terrain_cell_set_visible.h	UNMAPPED	-	-	target_evidence=0/0	stubs_in_counterpart=0
base/sources/command_terrain_cell_update_buffer.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_cell_update_buffer.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_exchange_texture.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_exchange_texture.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_remove_cell.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_terrain_remove_cell.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_update_light.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_update_light.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_update_visual.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_update_visual.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_update_visual_vertex_buffer.cpp	UNMAPPED	-	-	target_evidence=1/2:memory	stubs_in_counterpart=0
base/sources/command_update_visual_vertex_buffer.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_view_matrix.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/command_view_matrix.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/debug_draw_lines_command.cpp	BASENAME	sources/vostok/render/facade/sources/debug_draw_lines_command.h;sources/vostok/render/facade/sources/debug_draw_lines_command.cpp	debug_draw_lines_command.h:1	target_evidence=1/1:draw_lines_command	stubs_in_counterpart=7
base/sources/debug_draw_lines_command.h	BASENAME	sources/vostok/render/facade/sources/debug_draw_lines_command.h;sources/vostok/render/facade/sources/debug_draw_lines_command.cpp	debug_draw_lines_command.h:2	target_evidence=1/2:draw_lines_command	stubs_in_counterpart=7
base/sources/debug_draw_lines_command_inline.h	SYMBOL	sources/vostok/render/facade/sources/debug_draw_lines_command.h	debug_draw_lines_command.h:1	target_evidence=0/1	stubs_in_counterpart=3
base/sources/debug_draw_triangles_command.cpp	BASENAME	sources/vostok/render/facade/sources/debug_draw_triangles_command.cpp;sources/vostok/render/facade/sources/debug_draw_triangles_command.h	debug_draw_triangles_command.h:1	target_evidence=1/1:draw_triangles_command	stubs_in_counterpart=5
base/sources/debug_draw_triangles_command.h	BASENAME	sources/vostok/render/facade/sources/debug_draw_triangles_command.cpp;sources/vostok/render/facade/sources/debug_draw_triangles_command.h	debug_draw_triangles_command.h:1;debug_draw_lines_command.h:1	target_evidence=1/2:draw_triangles_command	stubs_in_counterpart=5
base/sources/debug_draw_triangles_command_inline.h	SYMBOL	sources/vostok/render/facade/sources/debug_draw_lines_command.h	debug_draw_lines_command.h:1	target_evidence=0/1	stubs_in_counterpart=3
base/sources/debug_renderer.cpp	BASENAME	sources/vostok/render/facade/debug_renderer.h;sources/vostok/render/facade/sources/debug_renderer.h;sources/vostok/render/facade/sources/debug_renderer.cpp	-	target_evidence=1/2:math	stubs_in_counterpart=27
base/sources/debug_renderer.h	BASENAME	sources/vostok/render/facade/debug_renderer.h;sources/vostok/render/facade/sources/debug_renderer.h;sources/vostok/render/facade/sources/debug_renderer.cpp	-	target_evidence=0/1	stubs_in_counterpart=27
base/sources/editor_clear_zbuffer_command.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_clear_zbuffer_command.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_draw_3d_screen_lines_command.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_draw_3d_screen_lines_command.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_draw_screen_lines_command.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_draw_screen_lines_command.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_flush_command.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_flush_command.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_renderer.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_renderer.h	DEAD	-	-	target_evidence=0/2	stubs_in_counterpart=0
base/sources/editor_setup_grid_render_mode_command.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_setup_grid_render_mode_command.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_setup_rotation_control_modes_command.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/editor_setup_rotation_control_modes_command.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/engine_renderer.cpp	BASENAME	sources/vostok/render/facade/engine_renderer.h;sources/vostok/render/facade/sources/engine_renderer.h;sources/vostok/render/facade/sources/engine_renderer.cpp	-	target_evidence=1/1:engine_renderer	stubs_in_counterpart=0
